age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.recip.536.ASO.PD4.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0348	c49	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	549	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	0.4272	D31	0	547	3.536	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5908	03/07/2016 10:00	5	mus musculus	5.265	not provided	not provided	not provided	0.2015	1.718	UCSDMI	TRUE	10483
10483.recip.537.WT.PD4.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0229	c50	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	546	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	4	1.446	D32	2	548	8.047	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.264	03/07/2016 10:00	5	mus musculus	14.38	not provided	not provided	not provided	1.41	4.969	UCSDMI	TRUE	10483
10483.recip.635.ASO.HC5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c80	false	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	2	not provided	F60	not provided	642	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.460.WT.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0312	c43	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	538	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	0.4272	D22	0	537	3.536	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5908	03/07/2016 10:00	3	mus musculus	5.265	not provided	not provided	not provided	0.2015	1.718	UCSDMI	TRUE	10483
10483.BLANK7.6E	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.6E	not applicable	BLANK7.6E	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.456.ASO.HC3.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c40	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	466	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	B45	not provided	465	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/23/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.543.ASO.HC4.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c50	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	547	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	not provided	A71	not provided	549	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	01/18/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.402.ASO.PD2.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c33	false	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	A41	not provided	452	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.325.ASO.PD1.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c28	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	412	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	2	not provided	C12	not provided	411	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/19/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.465.ASO.PD3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c45	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	541	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	C40	not provided	540	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.634.WT.HC5.D49	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c69	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	618, 621	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	3	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_058	uberon:feces	2	not provided	F6	not provided	620	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.411.ASO.HC2.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0285	c31	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	437	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	2	1.0357	D1	2	435	5.753	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.781	01/04/2016 10:00	4	mus musculus	11.75	not provided	not provided	not provided	0.5442	3.05	UCSDMI	TRUE	10483
10483.recip.548.ASO.PD4.D21	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0334	c16	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	314	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	0.4336	C56	0	315	3.053	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.425	11/12/2015 10:00	7	mus musculus	5.007	not provided	not provided	not provided	0.3446	1.554	UCSDMI	TRUE	10483
10483.recip.643.WT.HC6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c84	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_3	uberon:feces	4	not provided	F68	not provided	650	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.390.ASO.PD2.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c30	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	3	not provided	A37	not provided	414	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK3.3A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK3.3A	not applicable	BLANK3.3A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.461.ASO.HC3.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c17	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	319	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	B5	not provided	316	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	10/01/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.316WT.HC1.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0289	c19	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	322	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	4	0.8355	C64	1	323	8.214	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.569	11/12/2015 10:00	8	mus musculus	12.73	not provided	not provided	not provided	1.554	6.663	UCSDMI	TRUE	10483
10483.recip.637.ASO.PD6.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0378	c81	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	643	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	1	0.6267	G28	0	644	3.772	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.344	04/04/2016 10:00	1	mus musculus	8.217	not provided	not provided	not provided	0.1979	1.652	UCSDMI	TRUE	10483
10483.donor5.HC	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c18	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	320	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	3	not provided	A18	not provided	321	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	09/24/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.622.ASO.PD5.D14	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0406	c65	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	616	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	3	0.5511	F36	0	614	2.747	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.8015	04/04/2016 10:00	2	mus musculus	5.437	not provided	not provided	not provided	0.2586	1.233	UCSDMI	TRUE	10483
10483.recip.316WT.HC1.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c19	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	322	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	4	not provided	B77	not provided	323	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.389.WT.HC2.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c30	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	3	not provided	B29	not provided	414	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/12/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.459.WT.HC3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c42	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	468	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	1	not provided	C35	not provided	469	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/30/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.458.ASO.HC3.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c41	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	465	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	A54	not provided	466	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/16/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.455.WT.PD3.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c40	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	467	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	3	not provided	B44	not provided	464	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	11/23/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.437.ASO.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0316	c40	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	467	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	3	0.7353	D15	0	464	6.163	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5426	01/04/2016 10:00	4	mus musculus	5.044	not provided	not provided	not provided	0.3089	1.55	UCSDMI	TRUE	10483
10483.recip.536.ASO.PD4.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c47	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	545	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	2	not provided	B58	not provided	544	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	01/25/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.549.WT.PD4.D21	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c17	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	319	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	0.4336	C57	1	316	3.053	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.425	11/12/2015 10:00	missing	mus musculus	5.007	not provided	not provided	not provided	0.3446	1.554	UCSDMI	TRUE	10483
10483.recip.585.ASO.OBAWT.D49	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c81	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	643	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	1	not provided	G9	not provided	644	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.539.ASO.PD4.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c50	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	546	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2				TRUE	not provided	pdgi_7	uberon:feces	4	not provided	C48	not provided	548	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	02/01/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.622.ASO.PD5.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c65	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	617	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	4	not provided	F2	not provided	615	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.8E	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.8E	not applicable	BLANK7.8E	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.317.ASO.HC1.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0279	c20	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	3	0.5335	C65	1	324	4.32	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5433	11/12/2015 10:00	0	mus musculus	3.918	not provided	not provided	not provided	0.1023	0.69	UCSDMI	TRUE	10483
10483.recip.313.ASO.HC1.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c20	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_1	uberon:feces	3	not provided	A21	not provided	324	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	09/24/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.8D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.8D	not applicable	BLANK7.8D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.donor6.HC	57	36	male	caucasian	sampson_mazmanian_parkinsons_mice		not provided	not provided	not provided	not provided	not provided	not provided	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	none	feces	not provided	healthy	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	healthy	dys_200a	uberon:feces	not provided	not provided	A2	not provided	DYS_200A	not provided	human gut metagenome	not provided	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.NA3	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	NA3	not applicable	NA3	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.647.ASO.PD6.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c86	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	654	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	elp_035	uberon:feces	2	not provided	F71	not provided	653	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	02/22/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
